Tags,Meaning
vesta,The Vesta Control Panel is an open source hosting control panel that allows users to manage their own sites. Questions should pertain to configuration files only. Questions about server setup should be asked on https://serverfault.com
sql-server-2014,Use this tag for questions specific to the 2014 version of Microsoft&#39;s SQL Server database engine. SQL Server 2014 is the predecessor of the later SQL Server 2016.
freertos,"FreeRTOS is a portable, open source, real-time operating systems for microcontrollers. It also has some support for microprocessors with memory protection units."
greenkeeper,Greenkeeper monitors and automatically updates npm dependencies for GitHub projects
vehicle-routing,The &quot;vehicle routing problem&quot; is a combinatorial optimization problem which asks &quot;What is the optimal set of routes for a fleet of vehicles to traverse in order to deliver to a given set of customers?&quot;. It generalises the travelling salesman problem.
maybe,"In Haskell, the Maybe type encapsulates an optional value."
beginthreadex,
save,To store (data) in a computer or on a storage device.
memory-mapped-files,A file whose contents are mapped in virtual memory.
sublimetext3,"DO NOT USE THIS TAG UNLESS YOUR QUESTION IS SPECIFICALLY ABOUT SUBLIME TEXT ITSELF. Do not tag your IDE or source code editor in questions about unrelated topics.

Sublime Text 3 is a multi-language, multi-platform code editor, developed by Jon Skinner. It has a Python API to allow plugins for augmented functionality."
fontconfig,Fontconfig is a library for configuring and customizing font access. 
bmake,bmake(1) is a flavor of standard Unix make(1). It is the primary make(1) in FreeBSD while its upstream is maintained by the NetBSD project.
cardlayout,"A CardLayout is a graphical layout manager for a container. It treats each component in the container as a card. Only one card is visible at a time, and the container acts as a stack of cards."
ohlc,
forwarding,"There are myriad kinds of forwarding. Use this if you must, but try to find a more specific [tag] first."
angular5,"Questions about Angular version 5, the web framework from Google. Use this tag for Angular questions which are specific to only version 5. Use tag Angular for any Angular questions which are not specific to an individual version."
dependent-type,"Dependent types are types that depend on values. Very few languages support them - examples include Agda, ATS, Coq, Epigram, Scala (by path-dependent-types, a close variant) and Idris which aspires to produce system-level quality native code."
roslyn-code-analysis,For questions regarding code analysis for C# and VB based on the Roslyn .NET compiler platform API.
yii2-advanced-app,"Yii 2 Advanced Application Template is a skeleton Yii 2 application best for developing complex Web applications with multiple tiers. The template includes three tiers: front end, back end, and console, each of which is a separate Yii application.

The template is designed to work in a team development environment. It supports deploying the application in different environments."
walrus-operator,The &quot;walrus operator&quot; is an informal term for the assignment expression syntax (a := b) that were proposed in PEP 572 and introduced in Python 3.8
angular-template-form,Template driven forms are simple forms which can be used to develop forms. Template driven forms are called template-driven as everything that we are going to use in the application is defined in the template that we are defining along with the component.
devexpress-wpf,Used for questions relating to the DevExpress WPF library
apollo-gateway,
clp,"Constraint logic programming is a programming paradigm that combines features of logic programming and constraint programming. As in regular logic programming, programs are queried about the provability of a goal, which may contain constraints in addition to literals. "
roles,"In various access control systems, roles define a group of users and organize permissions into a more manageable structure."
mandrill,"Mandrill is an API for sending transactional email. It runs on the delivery infrastructure that powers MailChimp. 
"
hijri,"The Hijiri calendar, also known as the Islamic or Muslim calendar, is a lunar calendar consisting of 354 (or 355) days divided among 12 months."
uisearchbar,A view class in iOS (Apple) that implements a text field control for text-based searches.
polar-coordinates,"An alternative form of plotting in mathematical space (other methods include Cartesian and Cylindrical) which utilizes pole-based coordinates (radius,theta) to plot points. Refer to 3D uses as Spherical Coordinates."
column-family,"A column family is a NoSQL object that contains columns of related data. It is a tuple (pair) that consists of a key-value pair, where the key is mapped to a value that is a set of columns. In analogy with relational databases, a column family is as a &quot;table&quot;."
sensitive-data,"Please do not use this tag. Almost all data is in some way sensitive. Use the [security], [cryptography] or [credentials] tag instead."
secure-coding,Topics related to coding patterns and best practices for avoiding common bugs and security holes.
vitejs,"Questions about ViteJs, the Next Generation Frontend Tooling from Tailwind Labs"
lwjgl,"The Lightweight Java Game Library (LWJGL) allows access to high performance crossplatform libraries such as OpenGL, OpenCL and OpenAL to write state of the art 2D and 3D applications with Java."
nested-for-loop,
alpine,"Alpine Linux is a small, simple and secure Linux distribution based on musl libc and busybox.
For questions related to the Alpine.js library, use the tag [alpine.js]."
daphne,"Daphne is a HTTP, HTTP2 and WebSocket protocol server for ASGI, and developed to power Django Channels."
python-interactive,
kubebuilder,
resilience4j,Resilience4j is lightweight alternative to Netflix Hystrix.
liferay-6.2,"The current (June 2021) version of Liferay is 7.4 - Liferay 6.2 was released in 2013, with the last GA update in 2017. Consider upgrading asap. If you&#39;re still running Liferay 6.2 CE, at least have this security patch https://liferay.dev/blogs/-/blogs/security-patches-for-liferay-portal-6-2-7-0-and-7-1 installed. A lot more information is available in the main liferay tag."
elixir-mix,"Mix is a build tool that provides tasks for creating, compiling, testing Elixir projects, as well as handle dependencies, and more."
deeplab,"DeepLab is a deep learning model for semantic image segmentation, where the goal is to assign semantic labels to every pixel in the input image. "
jaws-screen-reader,JAWS is a computer screen reader program for Microsoft Windows.
vega-lite,Vega-Lite is a high-level grammar of interactive graphics. It provides a concise JSON syntax for rapidly generating visualizations to support analysis. Vega-Lite specifications can be compiled to Vega specifications.
autofocus,
webpack-5,
conditional-types,Questions about [Conditional Types](https://www.typescriptlang.org/docs/handbook/advanced-types.html]) in Typescript.
clockkit,Apple&#39;s ClockKit framework (ClockKit.framework) allows to use complications on the Apple Watch.
kotlin-script,"Use only for issues strictly related with Kotlin scripts running in command line, not for generic Kotlin questions"
pygithub,"PyGithub is a Python library implementing the GitHub REST API v3, to manage GitHub resources (repositories, user profiles, organizations, etc.) from Python scripts."
angular-content-projection,
compound-literals,"Use this tag to ask questions about the semantics or usage of compound literal, which was introduced in C99."
spring-mongodb,Spring Data for MongoDB is an Object Document Mapper (ODM) to persist Java Objects in a MongoDB Database.
monoids,"A monoid is a set that is closed under an associative binary operation and has an identity element I ∈ Such that for all a ∈ S, Ia = aI = a. Note that unlike a group, its elements need not have inverses. It can also be thought of as a semigroup with an identity element."
wamp,"WAMP refers to a web development software stack utilizing Windows, Apache Web Server, MySQL database, and the PHP programming language. Compare with LAMP."
android-support-design,Android support design is library that introduce by google for giving support of few material design components to all android 2.1 devices or higher devices.
crtp,The curiously recurring template pattern (CRTP) is a C++ idiom in which a class X derives from a class template instantiation using X itself as template argument. 
avcaptureoutput,
sender,"sender is the conventional name of an input parameter to an event handler in some object-oriented languages and their frameworks, for example Objective-C and Cocoa, or C# and .NET."
bloomberg,"For programming questions related to the Bloomberg API, which provides financial news and data services."
cleartext,
hyperlink,A hyperlink is a reference to a document (or a section) that can be followed for retrieval using a navigation system that allows selecting emphasized content within an originating document.
referenceerror,Anything related to JavaScript ReferenceError that it is thrown when trying to dereference a variable that has not been declared.
uniqueidentifier,"With reference to a given (possibly implicit) set of objects, a unique identifier is any identifier which is guaranteed to be unique among all identifiers used for those objects and for a specific purpose."
webjob,
unix,This tag is EXCLUSIVELY for PROGRAMMING questions that are directly related to Unix; general software issues should be directed to the Unix &amp; Linux Stack Exchange site or to Super User. The Unix operating system is a general-purpose OS that was developed by Bell Labs in the late 1960s and today exists in various versions.
qwebengineview,The QWebEngineView class provides a widget that is used to view and edit web documents
google-photos-api,"Using the Google Photos Library API your app can read, write, and share photos and videos in Google Photos.
"
jsoup,"Jsoup is a Java HTML parser for extracting and manipulating HTML data, using the best of DOM, CSS, and jQuery-like methods."
bug-reporting,"Bug reporting is the process of sending a description describing the problem encountered, the state of the system at the time, and possible other data to enable the problem to be resolved. "
spaceship-operator,"The &lt;=&gt; comparison operator is often referred to as the spaceship operator. It performs a 3-way comparison (returning less, equal, or greater) on the two operands."
microbenchmark,"A microbenchmark attempts to measure the performance of a &quot;small&quot; bit of code. These tests are typically in the sub-millisecond range. The code being tested usually performs no I/O, or else is a test of some single, specific I/O task."
act,"Act! is a CRM (Customer Relations Management) software application which is used to keep track of client and prospect details in a single database (in MS-SQL) that can be shared by multiple users. It integrates with Microsoft Word, Excel, Outlook, Google Contacts, Gmail and other popular applications in order to generate and track communications with the contacts. It&#39;s available as a Windows app or Web (self or vendor hosted)"
hsm,Hardware Security Modules are devices designed to protect cryptographic key material and accelerate certain operations.
tuf,
ios13,The iOS13 tag should be used for questions specific to Apple&#39;s iOS 13 operating system. General iOS questions should use the iOS tag.
google-blockly,"Google Blockly is a JavaScript library for building visual programming editors. It adds an editor to your app that represents coding concepts as interlocking blocks. It outputs syntactically correct code in the programming language of your choice. It is an open-source project developed and maintained by the google team.

Use this tag for questions regarding the implementation of this library or extending the functionality of this library.
"
dice,"Dice are small objects thrown by hand that land in different positions, used to generate random value for games, particularly gambling."
quartz.net,"Quartz.NET is an open source job scheduling library for .NET. A job scheduler is a system that is responsible for executing (or notifying) other software components when a predetermined (scheduled) time arrives.

NOTE: this tag is for questions about the .NET version; for Java questions please use [quartz-scheduler] instead."
azure-cosmosdb-sqlapi,
nullish-coalescing,
jpeg2000,JPEG2000 is an image encoded format intended to supercede JPEG.
uinavigationbarappearance,
database-backups,database-backups are intended to preserve data by serializing database tables to a text format or exporting them to a binary format
grand-central-dispatch,"Grand Central Dispatch (GCD) provides a simple and robust mechanism for concurrent and asynchronous operations, primarily in Apple operating systems (e.g., iOS, macOS, watchOS, and tvOS), but also FreeBSD and MidnightBSD."
methodhandle,Use this tag for questions regarding MethodHandle/MethodHandles Java classes from java.lang.invoke API.
.net-core-3.0,"Use this tag for questions specifically related to .NET Core 3.0, in addition to using the &#39;.NET Core&#39; tag."
xctestcase,"The primary class for defining test cases, test methods, and performance tests for iOS and Mac OS development."
ludwig,The [ludwig] tag is used for questions concerning the open source toolbox built on top of TensorFlow to train and test deep learning models.
got,Global Offset Table (dynamic linking)
content-assist,Content or code assist are the (automatic) functions provided by IDEs that help a developer to write code more quickly and efficiently.
ltk,
customscrollview,
migration,"An action of moving between major versions of any framework, product or language, or, just as commonly, alteration to the data schema of an application. This might involve modifying existing data to make it work with the new version."
record-classes,Use this tag for issues related to C# 9.0 feature Records.
libc,"The C standard library consists of a set of sections of the ISO C standard which describe a collection of headers and library routines used to implement common operations, such as input/output and string handling, in the C programming language."
dynamics-crm,"Microsoft Dynamics CRM is a multilingual Customer Relationship Management software package developed by Microsoft. It has built in support for Sales, Marketing and Service. It can be used as an xRM platform."
,NaN is an abbreviation for &quot;Not a Number&quot;. NaN is sometimes not equal to itself.
geopandas,GeoPandas is an open source project to make working with geospatial data in python easier. GeoPandas extends the datatypes used by pandas to allow spatial operations on geometric types.
folium,A python wrapper for the geo-mapping Leaflet.js library.
aws-elb,Amazon Web Services Elastic Load Balancer (aws-elb) is a service offered by aws to automatically distribute incoming network traffic across multiple targets (EC2 instances or specific ports).  
angular2-formbuilder,"Questions about Angular FormBuilder, a built-in API for creating instances of a FormControl / FormGroup / or FormArray using less code. Available in @angular/forms package."
tools.jar,
